아이디,국가별,성별,연령별,문1. 주요 방한 목적,한국 방문횟수(카테고리),문1-1. 한국여행 관심 계기_1,문3-1. 고려한 관광활동_1,문3-2. 고려한 관광인프라_1,"문10. 1인 1일 지출경비(상하위 1% 대체, 61일 이상 결측)",문9-3. 총 체재기간_61일 이상 결측,숙박시설_그룹,여행동반자_그룹,방문 지역 수,주요 체재 지역,총 국내 지출경비,식비_비율,국내 교통비_비율,체험/활동비_비율,뷰티/의료비_비율,여행 서비스비_비율,숙박비_비율,쇼핑비_비율,기타 비용_비율
57,13,2,5,1,4,7.0,1.0,3.0,451.666666666667,6.0,호텔,가족형,1,서울,2310.0,0.2597402597402597,0.06493506493506493,0.021645021645021644,0.0,0.004329004329004329,0.4329004329004329,0.21645021645021645,0.0
58,3,2,4,1,4,7.0,11.0,6.0,272.935,5.0,호텔,가족형,1,서울,846.3722286511185,0.14352693522150983,0.02870538704430197,0.0047842311740503365,0.0,9.568462348100661e-05,0.2392115587025168,0.5741077408860393,0.009568462348100661
59,3,2,3,1,3,7.0,12.0,2.0,177.65,6.0,호텔,단체형,1,서울,742.9489319800022,0.23907846120408577,0.05433601391001963,0.043468811128015705,0.0,0.0002173440556400792,0.21734405564007786,0.43468811128015705,0.010867202782003932
60,1,1,2,1,1,8.0,11.0,2.0,153.78,6.0,호텔,혼자형,1,서울,727.2560968229952,0.28790786948176533,0.13435700575815748,0.0,0.0,0.0019193857965451068,0.38387715930902133,0.19193857965451067,0.0
61,3,2,2,1,4,2.0,1.0,4.0,329.46,5.0,호텔,가족형,2,서울,1259.7759851009605,0.03845167905665212,0.051268905408869546,0.0,0.0,0.00025634452704434776,0.12817226352217348,0.7690335811330432,0.012817226352217347
63,3,1,2,1,1,5.0,6.0,2.0,298.775,5.0,호텔,가족형,2,서울,975.7025432225894,0.39000912787320513,0.024894199651481236,0.0,0.0,8.29806655049374e-05,0.4149033275246869,0.16596133100987498,0.0041490332752468695
64,3,1,5,1,2,10.0,12.0,4.0,258.4,5.0,호텔,가족형,2,서울,796.6961855472484,0.5180810278727593,0.06216972334473111,0.0,0.0,0.00010361620557455197,0.2072324111491037,0.2072324111491037,0.0051808102787276045
66,1,2,1,1,1,8.0,14.0,3.0,471.825,4.0,호텔,친구형,1,서울,1684.5449433207384,0.0830082178135636,0.012451232672034511,0.0,0.49804930688138094,8.30082178135636e-05,0.057773719598240215,0.3320328712542544,0.01660164356271272
68,3,1,4,1,2,5.0,2.0,3.0,219.947619047619,7.0,호텔,가족형,1,서울,999.4490187823075,0.2378121284185491,0.06485785320505885,0.0,0.0,0.00010809642200843142,0.2594314128202354,0.4323856880337266,0.0054048211004215805
71,1,2,2,1,1,1.0,11.0,5.0,145.392,5.0,호텔,친구형,1,서울,544.8698265895955,0.2056555269922883,0.05912596401028288,0.0,0.0,0.002570694087403604,0.2056555269922883,0.5141388174807189,0.012853470437017999
76,3,2,5,1,3,8.0,15.0,3.0,434.112,5.0,호텔,가족형,2,서울,2170.5600000000004,0.02529761904761904,0.0,0.0,0.0,0.5282738095238094,0.0,0.44642857142857134,0.0
77,3,1,3,1,3,11.0,16.0,2.0,271.32,5.0,호텔,가족형,1,서울,1356.6,0.04705882352941177,0.0,0.0,0.0,0.835294117647059,0.0,0.11764705882352941,0.0
78,9,2,5,1,3,2.0,2.0,5.0,153.0,5.0,호텔,가족형,2,서울,495.03176096929775,0.12724959098345762,0.03635702599527355,0.0,0.0,0.00018178512997636795,0.4362843119432834,0.3635702599527355,0.03635702599527355
79,3,2,4,1,1,4.0,5.0,3.0,206.72,5.0,호텔,복합형(가족+친구),2,부산,1033.6,0.028125000000000004,0.0,0.0,0.0,0.565625,0.0,0.40625,0.0
80,3,1,2,1,1,8.0,16.0,5.0,432.82,5.0,호텔,가족형,2,서울,2164.1,0.015037593984962433,0.0,0.0,0.0,0.5338345864661656,0.0,0.45112781954887204,0.0
81,3,2,3,1,1,1.0,16.0,3.0,432.82,5.0,호텔,가족형,2,인천,2164.1,0.015037593984962433,0.0,0.0,0.0,0.5338345864661656,0.0,0.45112781954887204,0.0
84,3,2,5,1,1,4.0,5.0,3.0,193.8,5.0,호텔,복합형(가족+친구),2,부산,969.0,0.017543859649122806,0.0,0.0,0.0,0.631578947368421,0.0,0.3508771929824561,0.0
86,1,1,2,1,3,5.0,1.0,6.0,619.114285714286,7.0,호텔,가족형,1,서울,4018.28309335059,0.061071366253707994,0.017448961786773687,0.0,0.0,0.00017448961786773685,0.04362240446693421,0.8724480893386842,0.005234688536032116
87,1,2,2,1,3,3.0,8.0,9.0,144.46,6.0,호텔,가족형,2,서울,520.1114637657973,0.5331911490269262,0.05331911490269262,0.0,0.0,0.0002665955745134631,0.31991468941615536,0.05331911490269262,0.039989336177019566
92,9,1,3,1,1,1.0,8.0,5.0,288.0,5.0,호텔,가족형,2,서울,1088.953870344526,0.16118503235789555,0.02578960517726321,0.0,0.0,8.059251617894684e-06,0.16118503235789555,0.6447401294315803,0.007092141423747383
108,11,2,4,1,1,1.0,13.0,5.0,190.666666666667,10.0,호텔,가족형,1,서울,1356.6772433863448,0.13513148293289362,0.05405259317315752,0.0,0.0,2.702629658657872e-05,0.27026296586578724,0.5405259317315751,0.0
