아이디,국가별,성별,연령별,한국 방문횟수(카테고리),문1-1. 한국여행 관심 계기_1,문3-1. 고려한 관광활동_1,문3-2. 고려한 관광인프라_1,"문10. 1인 1일 지출경비(상하위 1% 대체, 61일 이상 결측)",문9-3. 총 체재기간_61일 이상 결측,숙박시설_그룹,여행동반자_그룹,방문 지역 수,주요 체재 지역,식비_비율,국내 교통비_비율,체험/활동비_비율,뷰티/의료비_비율,여행 서비스비_비율,숙박비_비율,쇼핑비_비율,기타 비용_비율
57,13,2,5,4,6,1.0,3,3,3.0,호텔,가족형,1,서울,0.26,0.0649350649350649,0.0216450216450216,0.0,0.0043290043290043,0.4329004329004329,0.2164502164502164,0.0
58,3,2,4,4,6,9.0,6,2,2.0,호텔,가족형,1,서울,0.144,0.0287053870443019,0.0047842311740503,0.0,9.56846234810066e-05,0.2392115587025168,0.5741077408860393,0.0095684623481006
59,3,2,3,3,6,10.0,2,2,3.0,호텔,단체형,1,서울,0.239,0.0543360139100196,0.0434688111280157,0.0,0.00021734405564,0.2173440556400778,0.434688111280157,0.0108672027820039
60,1,1,2,1,7,9.0,2,2,3.0,호텔,혼자형,1,서울,0.288,0.1343570057581574,0.0,0.0,0.0019193857965451,0.3838771593090213,0.1919385796545106,0.0
61,3,2,2,4,2,1.0,4,2,2.0,호텔,가족형,2,서울,0.038,0.0512689054088695,0.0,0.0,0.0002563445270443,0.1281722635221734,0.7690335811330432,0.0128172263522173
63,3,1,2,1,5,5.0,2,2,2.0,호텔,가족형,2,서울,0.39,0.0248941996514812,0.0,0.0,8.29806655049374e-05,0.4149033275246869,0.1659613310098749,0.0041490332752468
64,3,1,5,2,4,10.0,4,2,2.0,호텔,가족형,2,서울,0.518,0.0621697233447311,0.0,0.0,0.0001036162055745,0.2072324111491037,0.2072324111491037,0.0051808102787276
66,1,2,1,1,7,7.0,3,3,2.0,호텔,친구형,1,서울,0.083,0.0124512326720345,0.0,0.4980493068813809,8.30082178135636e-05,0.0577737195982402,0.3320328712542544,0.0166016435627127
68,3,1,4,2,5,2.0,3,2,3.0,호텔,가족형,1,서울,0.238,0.0648578532050588,0.0,0.0,0.0001080964220084,0.2594314128202354,0.4323856880337266,0.0054048211004215
71,1,2,2,1,1,9.0,5,2,2.0,호텔,친구형,1,서울,0.206,0.0591259640102828,0.0,0.0,0.0025706940874036,0.2056555269922883,0.5141388174807189,0.0128534704370179
76,3,2,5,3,7,7.0,3,3,2.0,호텔,가족형,2,서울,0.025,0.0,0.0,0.0,0.5282738095238094,0.0,0.4464285714285713,0.0
77,3,1,3,3,8,11.0,2,2,2.0,호텔,가족형,1,서울,0.047,0.0,0.0,0.0,0.835294117647059,0.0,0.1176470588235294,0.0
78,9,2,5,3,2,2.0,5,2,2.0,호텔,가족형,2,서울,0.127,0.0363570259952735,0.0,0.0,0.0001817851299763,0.4362843119432834,0.3635702599527355,0.0363570259952735
79,3,2,4,1,4,4.0,3,2,2.0,호텔,복합형(가족+친구),2,부산,0.028,0.0,0.0,0.0,0.565625,0.0,0.40625,0.0
80,3,1,2,1,7,11.0,5,3,2.0,호텔,가족형,2,서울,0.015,0.0,0.0,0.0,0.5338345864661656,0.0,0.451127819548872,0.0
81,3,2,3,1,1,11.0,3,3,2.0,호텔,가족형,2,인천,0.015,0.0,0.0,0.0,0.5338345864661656,0.0,0.451127819548872,0.0
84,3,2,5,1,4,4.0,3,2,2.0,호텔,복합형(가족+친구),2,부산,0.018,0.0,0.0,0.0,0.631578947368421,0.0,0.3508771929824561,0.0
86,1,1,2,3,5,1.0,6,4,3.0,호텔,가족형,1,서울,0.061,0.0174489617867736,0.0,0.0,0.0001744896178677,0.0436224044669342,0.8724480893386842,0.0052346885360321
87,1,2,2,3,3,5.0,6,2,3.0,호텔,가족형,2,서울,0.533,0.0533191149026926,0.0,0.0,0.0002665955745134,0.3199146894161553,0.0533191149026926,0.0399893361770195
92,9,1,3,1,1,5.0,5,2,2.0,호텔,가족형,2,서울,0.161,0.0257896051772632,0.0,0.0,8.059251617894684e-06,0.1611850323578955,0.6447401294315803,0.0070921414237473
108,11,2,4,1,1,10.0,5,2,4.0,호텔,가족형,1,서울,0.135,0.0540525931731575,0.0,0.0,2.702629658657872e-05,0.2702629658657872,0.5405259317315751,0.0
110,1,1,3,4,6,5.0,6,2,2.0,민박/펜션,가족형,1,서울,0.17,0.1020234653970413,0.0,0.0,0.000170039108995,0.2040469307940821,0.5101173269852066,0.0136031287196055
111,97,1,3,1,1,4.0,6,4,2.0,호텔,친구형,1,서울,0.227,0.0908265213442325,0.0181653042688465,0.0,0.0009082652134423,0.2724795640326976,0.3633060853769301,0.0272479564032697
