아이디,성별,연령별,한국 방문횟수(카테고리),문1-1. 한국여행 관심 계기_1,문3-2. 고려한 관광인프라_1,여행동반자_그룹,방문 지역 수,여행 패턴,"문10. 1인 1일 지출경비(상하위 1% 대체, 61일 이상 결측)",문9-3. 총 체재기간_61일 이상 결측,문3-1. 고려한 관광활동_1순위
57,2,5,4,콘텐츠 및 문화,안전 및 퀄리티,가족형,1,서울 심층형,451.666666666667,6.0,도시 소비형
58,2,4,4,콘텐츠 및 문화,여행 편의성,가족형,1,서울 단기형,272.935,5.0,경험형
59,2,3,3,콘텐츠 및 문화,여행 편의성,단체형,1,서울 심층형,177.65,6.0,특수 목적
60,1,2,1,콘텐츠 및 문화,여행 편의성,혼자형,1,서울 심층형,153.78,6.0,경험형
61,2,2,4,경험형,가성비,가족형,2,서울 단기형,329.46,5.0,도시 소비형
63,1,2,1,가성비 및 접근성,여행 편의성,가족형,2,서울 단기형,298.775,5.0,"역사, 전통, 자연"
64,1,5,2,가성비 및 접근성,가성비,가족형,2,서울 단기형,258.4,5.0,특수 목적
66,2,1,1,콘텐츠 및 문화,안전 및 퀄리티,친구형,1,서울 단기형,471.825,4.0,경험형
68,1,4,2,가성비 및 접근성,안전 및 퀄리티,가족형,1,서울 심층형,219.947619047619,7.0,도시 소비형
71,2,2,1,경험형,안전 및 퀄리티,친구형,1,서울 단기형,145.392,5.0,경험형
76,2,5,3,콘텐츠 및 문화,안전 및 퀄리티,가족형,2,서울 단기형,434.112,5.0,경험형
77,1,3,3,기타,여행 편의성,가족형,1,서울 단기형,271.32,5.0,도시 소비형
78,2,5,3,경험형,안전 및 퀄리티,가족형,2,서울 단기형,153.0,5.0,도시 소비형
79,2,4,1,가성비 및 접근성,안전 및 퀄리티,복합형(가족+친구),2,수도권/지방형(탐험가형),206.72,5.0,"역사, 전통, 자연"
80,1,2,1,콘텐츠 및 문화,안전 및 퀄리티,가족형,2,서울 단기형,432.82,5.0,도시 소비형
81,2,3,1,경험형,안전 및 퀄리티,가족형,2,수도권/지방형(탐험가형),432.82,5.0,도시 소비형
84,2,5,1,가성비 및 접근성,안전 및 퀄리티,복합형(가족+친구),2,수도권/지방형(탐험가형),193.8,5.0,"역사, 전통, 자연"
