아이디,연령별,한국 방문횟수(카테고리),문3-2. 고려한 관광인프라_1,여행동반자_그룹,방문 지역 수,여행 패턴,"문10. 1인 1일 지출경비(상하위 1% 대체, 61일 이상 결측)",문9-3. 총 체재기간_61일 이상 결측,문3-1. 고려한 관광활동_1순위,문1-1. 한국여행 관심 계기_1순위
57,5,4,안전 및 퀄리티,가족형,1,서울 심층형,451.666666666667,6.0,도시 소비형,K-컬처형
58,4,4,여행 편의성,가족형,1,서울 단기형,272.935,5.0,경험형,K-컬처형
59,3,3,여행 편의성,단체형,1,서울 심층형,177.65,6.0,특수 목적,K-컬처형
60,2,1,여행 편의성,혼자형,1,서울 심층형,153.78,6.0,경험형,K-컬처형
61,2,4,가성비,가족형,2,서울 단기형,329.46,5.0,도시 소비형,경험 및 관계
63,2,1,여행 편의성,가족형,2,서울 단기형,298.775,5.0,"역사, 전통, 자연",가성비 및 접근성
64,5,2,가성비,가족형,2,서울 단기형,258.4,5.0,특수 목적,가성비 및 접근성
66,1,1,안전 및 퀄리티,친구형,1,서울 단기형,471.825,4.0,경험형,K-컬처형
68,4,2,안전 및 퀄리티,가족형,1,서울 심층형,219.947619047619,7.0,도시 소비형,가성비 및 접근성
71,2,1,안전 및 퀄리티,친구형,1,서울 단기형,145.392,5.0,경험형,경험 및 관계
76,5,3,안전 및 퀄리티,가족형,2,서울 단기형,434.112,5.0,경험형,K-컬처형
78,5,3,안전 및 퀄리티,가족형,2,서울 단기형,153.0,5.0,도시 소비형,경험 및 관계
79,4,1,안전 및 퀄리티,복합형(가족+친구),2,수도권/지방형(탐험가형),206.72,5.0,"역사, 전통, 자연",가성비 및 접근성
80,2,1,안전 및 퀄리티,가족형,2,서울 단기형,432.82,5.0,도시 소비형,K-컬처형
81,3,1,안전 및 퀄리티,가족형,2,수도권/지방형(탐험가형),432.82,5.0,도시 소비형,경험 및 관계
84,5,1,안전 및 퀄리티,복합형(가족+친구),2,수도권/지방형(탐험가형),193.8,5.0,"역사, 전통, 자연",가성비 및 접근성
86,2,3,여행 편의성,가족형,1,서울 심층형,619.114285714286,7.0,도시 소비형,가성비 및 접근성
87,2,3,여행 편의성,가족형,2,서울 심층형,144.46,6.0,경험형,경험 및 관계
92,3,1,안전 및 퀄리티,가족형,2,서울 단기형,288.0,5.0,경험형,경험 및 관계
108,4,1,안전 및 퀄리티,가족형,1,서울 심층형,190.666666666667,10.0,특수 목적,경험 및 관계
110,3,4,여행 편의성,가족형,1,서울 단기형,218.088,5.0,경험형,K-컬처형
111,3,1,여행 편의성,친구형,1,서울 단기형,678.714,5.0,"역사, 전통, 자연",경험 및 관계
112,2,1,가성비,친구형,1,서울 심층형,341.666666666667,6.0,도시 소비형,경험 및 관계
115,1,1,여행 편의성,친구형,2,서울 심층형,82.3076923076923,13.0,특수 목적,K-컬처형
116,4,1,안전 및 퀄리티,가족형,2,서울 단기형,179.06,5.0,도시 소비형,가성비 및 접근성
118,2,1,안전 및 퀄리티,친구형,1,서울 심층형,175.748571428571,7.0,도시 소비형,K-컬처형
119,1,1,여행 편의성,친구형,1,서울 단기형,101.355,5.0,경험형,K-컬처형
121,3,4,가성비,가족형,1,서울 심층형,231.25,6.0,도시 소비형,가성비 및 접근성
122,2,1,안전 및 퀄리티,친구형,1,서울 심층형,166.883333333333,6.0,도시 소비형,K-컬처형
123,2,1,여행 편의성,친구형,2,서울 심층형,168.54435,6.0,도시 소비형,경험 및 관계
125,2,2,가성비,혼자형,1,서울 단기형,159.75,4.0,도시 소비형,경험 및 관계
128,2,1,여행 편의성,친구형,1,서울 단기형,447.36,5.0,특수 목적,경험 및 관계
132,2,3,안전 및 퀄리티,혼자형,1,수도권/지방형(탐험가형),186.15,16.0,도시 소비형,경험 및 관계
135,5,2,안전 및 퀄리티,친구형,2,수도권/지방형(탐험가형),186.4,9.0,도시 소비형,경험 및 관계
136,3,4,안전 및 퀄리티,가족형,2,서울 단기형,299.286,5.0,도시 소비형,K-컬처형
