아이디,연령별,한국 방문횟수(카테고리),문3-2. 고려한 관광인프라_1,여행동반자_그룹,방문 지역 수,여행 패턴,"문10. 1인 1일 지출경비(상하위 1% 대체, 61일 이상 결측)",문9-3. 총 체재기간_61일 이상 결측,문3-1. 고려한 관광활동_1순위,문1-1. 한국여행 관심 계기_1순위,국가별,성별,월별,문10-2. 쇼핑 항목_1,문10-2. 쇼핑 항목_2,문10-2. 쇼핑 항목_3,문10-2. 쇼핑 항목_4,문10-2. 쇼핑 항목_5,문10-2. 쇼핑 항목_6,문10-2. 쇼핑 항목_7,문10-2. 쇼핑 항목_8,문10-2. 쇼핑 항목_9,문10-2. 쇼핑 항목_10,문10-2. 쇼핑 항목_11,문10-2. 쇼핑 항목_12,문10-2. 쇼핑 항목_13,문10. 1인 지출경비(상하위 1% 대체),문9-2. 방문지역_1,문9-2. 방문지역_2,문9-2. 방문지역_3,문9-2. 방문지역_4,문9-2. 방문지역_5,문9-2. 방문지역_6,문9-2. 방문지역_7,문9-2. 방문지역_8,문9-2. 방문지역_9,문9-2. 방문지역_10,문9-2. 방문지역_11,문9-2. 방문지역_12,문9-2. 방문지역_13,문9-2. 방문지역_14,문9-2. 방문지역_15,문9-2. 방문지역_16,문9-2. 방문지역_17,문9-1. 가장 좋았던곳_1,문9-1. 가장 좋았던곳_2,문9-1. 가장 좋았던곳_3,문9-1. 가장 좋았던곳_4,문9-1. 가장 좋았던곳_5,문8-1. 만족한 활동_1,문8-1. 만족한 활동_2,문8-1. 만족한 활동_3,문8. 참여한 활동_1,문8. 참여한 활동_2,문8. 참여한 활동_3,문8. 참여한 활동_4,문8. 참여한 활동_5,문8. 참여한 활동_6,문8. 참여한 활동_7,문8. 참여한 활동_8,문8. 참여한 활동_9,문8. 참여한 활동_10,문8. 참여한 활동_11,문8. 참여한 활동_12,문8. 참여한 활동_13,문8. 참여한 활동_14,문8. 참여한 활동_15,문8. 참여한 활동_16,문8. 참여한 활동_17,문8. 참여한 활동_18,문8. 참여한 활동_19,문8. 참여한 활동_20,new_여행패턴
57,5,재방문,안전 및 퀄리티,가족형,1,서울 심층형,451.666666666667,6.0,도시 소비형,K-컬처형,13,2,1,1.0,2.0,,,5.0,,,,,,,,,2710.0,1.0,,,,,,,,,,,,,,,,,11001,,,,,2,3.0,,,2.0,3.0,,,,,,,,,,,,,,,,,,서울 집중형
58,4,재방문,여행 편의성,가족형,1,서울 단기형,272.935,5.0,경험형,K-컬처형,3,2,1,1.0,2.0,,,,,,,,,,,,1364.675,1.0,,,,,,,,,,,,,,,,,11001,,,,,1,2.0,5.0,1.0,2.0,,,5.0,,,,,,,,,,,,,,,,서울 집중형
59,3,재방문,여행 편의성,단체형,1,서울 심층형,177.65,6.0,특수 목적,K-컬처형,3,2,1,,,3.0,,,6.0,,,,,,,,1065.9,1.0,,,,,,,,,,,,,,,,,41001,,,,,12,1.0,2.0,1.0,2.0,,,,,,,,,,12.0,,,,,,,,,서울 집중형
60,2,첫방문,여행 편의성,혼자형,1,서울 심층형,153.78,6.0,경험형,K-컬처형,1,1,1,1.0,2.0,3.0,,,,,,,,,,,922.68,1.0,,,,,,,,,,,,,,,,,11001,11002.0,,,,11,1.0,3.0,1.0,,3.0,,5.0,,,,,,11.0,,,,,,,,,,서울 집중형
61,2,재방문,가성비,가족형,2,서울 단기형,329.46,5.0,도시 소비형,경험 및 관계,3,2,1,1.0,2.0,3.0,,,,,,,,,,,1647.3,1.0,2.0,,,,,,,,,,,,,,,,11506,,,,,2,12.0,5.0,,2.0,,,5.0,,,,,,,12.0,,,,,,,,,서울 확산형
63,2,첫방문,여행 편의성,가족형,2,서울 단기형,298.775,5.0,"역사, 전통, 자연",가성비 및 접근성,3,1,1,1.0,2.0,3.0,,,,,,,,,,,1493.875,1.0,2.0,,,,,,,,,,,,,,,,11012,,,,,12,6.0,1.0,1.0,2.0,,,5.0,6.0,7.0,,,,,12.0,,,,,,,,,서울 확산형
64,5,재방문,가성비,가족형,2,서울 단기형,258.4,5.0,특수 목적,가성비 및 접근성,3,1,1,1.0,2.0,,,,,7.0,,,,,,,1292.0,1.0,2.0,,,,,,,,,,,,,,,,11012,,,,,6,12.0,1.0,1.0,2.0,,,5.0,6.0,,,,,,12.0,,,,16.0,,,,,서울 확산형
66,1,첫방문,안전 및 퀄리티,친구형,1,서울 단기형,471.825,4.0,경험형,K-컬처형,1,2,1,1.0,2.0,,,,,,,9.0,,,,,1887.3,1.0,,,,,,,,,,,,,,,,,11522,,,,,14,2.0,1.0,1.0,2.0,3.0,4.0,,,,8.0,,,11.0,,,14.0,,,,,,,서울 집중형
68,4,재방문,안전 및 퀄리티,가족형,1,서울 심층형,219.947619047619,7.0,도시 소비형,가성비 및 접근성,3,1,1,1.0,2.0,3.0,,,,,,,,,,,1539.63333333333,1.0,,,,,,,,,,,,,,,,,11002,,,,,2,1.0,3.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,서울 집중형
71,2,첫방문,안전 및 퀄리티,친구형,1,서울 단기형,145.392,5.0,경험형,경험 및 관계,1,2,1,1.0,2.0,3.0,,,,,,,,,,,726.96,1.0,,,,,,,,,,,,,,,,,11002,,,,,2,1.0,11.0,1.0,2.0,,,,,,,,,11.0,,,,,,,,,,서울 집중형
76,5,재방문,안전 및 퀄리티,가족형,2,서울 단기형,434.112,5.0,경험형,K-컬처형,3,2,1,1.0,2.0,,4.0,,,,,,,,,,2170.56,1.0,,,4.0,,,,,,,,,,,,,,41527,,,,,3,16.0,1.0,1.0,2.0,3.0,,,,,,,,,,,,,16.0,,,,,서울 확산형
78,5,재방문,안전 및 퀄리티,가족형,2,서울 단기형,153.0,5.0,도시 소비형,경험 및 관계,9,2,1,1.0,,,,,,,,,,,,,765.0,1.0,,,4.0,,,,,,,,,,,,,,42010,,,,,2,3.0,5.0,,2.0,3.0,,5.0,,,,,,,,,,,,,,,,서울 확산형
79,4,첫방문,안전 및 퀄리티,복합형(가족+친구),2,수도권/지방형(탐험가형),206.72,5.0,"역사, 전통, 자연",가성비 및 접근성,3,2,1,1.0,2.0,,,,,,,,,,,,1033.6,,,,,,,,,9.0,,,,13.0,,,,,47051,,,,,7,5.0,2.0,1.0,2.0,3.0,,5.0,,7.0,,,,,,,,,,,,,,탐험형
80,2,첫방문,안전 및 퀄리티,가족형,2,서울 단기형,432.82,5.0,도시 소비형,K-컬처형,3,1,1,1.0,2.0,3.0,,,,,,,,,,,2164.1,1.0,,3.0,,,,,,,,,,,,,,,42506,,,,,16,2.0,,,2.0,3.0,,5.0,,,,,,,,,,,16.0,,,,,서울 확산형
81,3,첫방문,안전 및 퀄리티,가족형,2,수도권/지방형(탐험가형),432.82,5.0,도시 소비형,경험 및 관계,3,2,1,1.0,2.0,3.0,,,,,,,,,,,2164.1,,,3.0,4.0,,,,,,,,,,,,,,11012,,,,,16,2.0,1.0,1.0,2.0,,,5.0,,7.0,,,,,,,,,16.0,,,,,탐험형
84,5,첫방문,안전 및 퀄리티,복합형(가족+친구),2,수도권/지방형(탐험가형),193.8,5.0,"역사, 전통, 자연",가성비 및 접근성,3,2,1,1.0,2.0,,4.0,,,,,,,,,,969.0,,,,,,,,,9.0,,,,13.0,,,,,26508,,,,,2,5.0,7.0,1.0,2.0,3.0,,5.0,,7.0,,,,,12.0,,,,,,,,,탐험형
86,2,재방문,여행 편의성,가족형,1,서울 심층형,619.114285714286,7.0,도시 소비형,가성비 및 접근성,1,1,1,1.0,2.0,3.0,,,,,,,,,,,4333.8,1.0,,,,,,,,,,,,,,,,,11001,,,,,1,2.0,3.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,서울 집중형
87,2,재방문,여행 편의성,가족형,2,서울 심층형,144.46,6.0,경험형,경험 및 관계,1,2,1,1.0,2.0,3.0,,,,,,,,,,,866.76,1.0,,,4.0,,,,,,,,,,,,,,42505,,,,,16,8.0,1.0,1.0,,3.0,,,,,8.0,,,,12.0,,,,16.0,,,,,서울 확산형
92,3,첫방문,안전 및 퀄리티,가족형,2,서울 단기형,288.0,5.0,경험형,경험 및 관계,9,1,1,1.0,,,,,,,,,,,,,1440.0,1.0,,,4.0,,,,,,,,,,,,,,42001,,,,,2,8.0,5.0,,2.0,,,5.0,,,8.0,,,11.0,12.0,,,,,,,,,서울 확산형
108,4,첫방문,안전 및 퀄리티,가족형,1,서울 심층형,190.666666666667,10.0,특수 목적,경험 및 관계,11,2,1,1.0,,,,,,,,,,,,,1906.66666666667,1.0,,,,,,,,,,,,,,,,,11001,,,,,2,1.0,,1.0,2.0,,,,,,,,,,,13.0,,,,,,,,서울 집중형
110,3,재방문,여행 편의성,가족형,1,서울 단기형,218.088,5.0,경험형,K-컬처형,1,1,1,1.0,2.0,3.0,,,,,,,,,,,1090.44,1.0,,,,,,,,,,,,,,,,,11055,,,,,8,1.0,7.0,1.0,,,,,,7.0,8.0,,,,,,,,,,,,,서울 집중형
111,3,첫방문,여행 편의성,친구형,1,서울 단기형,678.714,5.0,"역사, 전통, 자연",경험 및 관계,97,1,1,,2.0,3.0,,,,,,,,,,,3393.57,1.0,,,,,,,,,,,,,,,,,11012,,,,,13,2.0,1.0,1.0,2.0,3.0,,5.0,6.0,7.0,,,,,,13.0,,,,,,,,서울 집중형
112,2,첫방문,가성비,친구형,1,서울 심층형,341.666666666667,6.0,도시 소비형,경험 및 관계,97,1,1,,,3.0,,,,,,,,,,,2050.0,1.0,,,,,,,,,,,,,,,,,11910,,,,,2,7.0,1.0,1.0,2.0,3.0,,5.0,,7.0,,,,,,,,,,,,,,서울 집중형
115,1,첫방문,여행 편의성,친구형,2,서울 심층형,82.3076923076923,13.0,특수 목적,K-컬처형,17,2,1,1.0,,3.0,,,,,,,,,,,1070.0,1.0,,,,,,,,,,,,13.0,,,,,26500,,,,,5,1.0,7.0,1.0,2.0,3.0,,5.0,,7.0,,,,,,,,,,,,,,서울 확산형
116,4,첫방문,안전 및 퀄리티,가족형,2,서울 단기형,179.06,5.0,도시 소비형,가성비 및 접근성,5,1,1,1.0,,,,,,7.0,,,,,,,895.3,1.0,,,4.0,,,,,,,,,,,,,,42001,,,,,3,2.0,,1.0,2.0,3.0,,,,,,,10.0,11.0,,,,,,,,,,서울 확산형
118,2,첫방문,안전 및 퀄리티,친구형,1,서울 심층형,175.748571428571,7.0,도시 소비형,K-컬처형,1,2,1,1.0,2.0,3.0,,,,,,,,,,,1230.24,1.0,,,,,,,,,,,,,,,,,11011,,,,,2,3.0,1.0,1.0,2.0,3.0,,5.0,,,,,,,,,,,,,,,,서울 집중형
119,1,첫방문,여행 편의성,친구형,1,서울 단기형,101.355,5.0,경험형,K-컬처형,1,2,1,1.0,2.0,,,,,,,,,11.0,,,506.775,1.0,,,,,,,,,,,,,,,,,11002,,,,,8,1.0,7.0,1.0,2.0,,,,,7.0,8.0,,,,,,,,,,,,,서울 집중형
