아이디,국가별,성별,연령별,문1. 주요 방한 목적,한국 방문횟수(카테고리),문1-1. 한국여행 관심 계기_1순위,문3-1. 고려한 관광활동_1순위,문3-2. 고려한 관광인프라_1순위,"문10. 1인 1일 지출경비(영향치 결측, 61일 이상 결측, 국제교통비 제외)",문9-3. 총 체재기간_61일 이상 결측,숙박시설_그룹,여행동반자_그룹,방문 지역 수,주요 체재 지역
6.0,3.0,2.0,2.0,1,4.0,2.0,1.0,6.0,40.49,27.0,1. 호텔+7. 친척 또는 친구 집,혼자형,2,서울
12.0,5.0,2.0,4.0,1,1.0,8.0,5.0,5.0,228.02,5.0,1. 호텔,친구형,1,서울
14.0,8.0,2.0,3.0,1,1.0,4.0,12.0,1.0,204.3,7.0,1. 호텔,가족형,2,서울
19.0,8.0,1.0,5.0,1,1.0,1.0,5.0,4.0,219.91,8.0,1. 호텔,가족형,3,서울
20.0,3.0,1.0,2.0,1,1.0,7.0,7.0,10.0,167.08,8.0,1. 호텔,친구형,2,서울
21.0,4.0,2.0,2.0,1,2.0,2.0,7.0,2.0,204.29,7.0,4. 게스트하우스/호스텔,혼자형,1,서울
24.0,3.0,2.0,3.0,1,3.0,7.0,3.0,3.0,233.63,6.0,5. 민박/펜션,가족형,1,서울
25.0,5.0,2.0,3.0,1,4.0,5.0,3.0,10.0,298.47,6.0,1. 호텔,친구형,2,서울
26.0,3.0,1.0,2.0,1,1.0,1.0,1.0,3.0,134.2,6.0,1. 호텔,가족형,1,서울
27.0,3.0,1.0,3.0,1,1.0,5.0,3.0,1.0,270.58,5.0,1. 호텔,친구형,1,서울
29.0,8.0,2.0,4.0,1,1.0,1.0,2.0,2.0,104.04,6.0,1. 호텔,가족형,2,서울
33.0,3.0,2.0,4.0,1,2.0,5.0,3.0,5.0,326.0,5.0,1. 호텔,가족형,2,서울
37.0,9.0,2.0,2.0,1,1.0,8.0,4.0,2.0,157.38,7.0,1. 호텔,혼자형,3,서울
38.0,7.0,2.0,2.0,1,2.0,4.0,4.0,4.0,244.48,3.0,1. 호텔,혼자형,1,서울
40.0,2.0,1.0,2.0,1,2.0,5.0,11.0,12.0,79.8,4.0,1. 호텔,친구형,1,서울
55.0,10.0,1.0,3.0,1,3.0,2.0,4.0,6.0,19.98,4.0,1. 호텔,혼자형,2,서울
60.0,6.0,2.0,4.0,1,2.0,9.0,4.0,5.0,1408.15,4.0,1. 호텔,직장형,1,서울
61.0,97.0,2.0,4.0,1,1.0,1.0,4.0,3.0,427.86,7.0,1. 호텔,가족형,1,서울
62.0,10.0,1.0,3.0,1,3.0,5.0,5.0,7.0,422.22,10.0,1. 호텔,가족형,1,서울
65.0,11.0,2.0,3.0,1,1.0,5.0,3.0,3.0,135.0,5.0,7. 친척 또는 친구 집,가족형,3,충북
66.0,4.0,1.0,3.0,1,1.0,1.0,1.0,10.0,91.0,10.0,1. 호텔,가족형,1,서울
69.0,2.0,1.0,5.0,1,4.0,4.0,1.0,7.0,159.6,4.0,1. 호텔,혼자형,1,서울
78.0,5.0,2.0,3.0,1,4.0,2.0,3.0,7.0,211.06,7.0,1. 호텔,가족형,1,서울
79.0,10.0,2.0,4.0,1,1.0,4.0,11.0,8.0,156.47,7.0,3. 콘도미니엄/리조트,단체형,3,서울
80.0,10.0,1.0,3.0,1,1.0,1.0,9.0,7.0,156.12,7.0,8. 기타,단체형,1,서울
81.0,10.0,2.0,3.0,1,3.0,2.0,2.0,10.0,677.69,7.0,1. 호텔,단체형,3,서울
95.0,5.0,2.0,3.0,1,4.0,2.0,7.0,6.0,32.45,15.0,7. 친척 또는 친구 집,혼자형,1,서울
100.0,13.0,2.0,3.0,1,4.0,9.0,11.0,3.0,356.8,4.0,1. 호텔,가족형,1,서울
105.0,8.0,2.0,3.0,1,4.0,2.0,6.0,6.0,80.96,12.0,1. 호텔,혼자형,1,서울
108.0,10.0,2.0,2.0,1,4.0,2.0,15.0,3.0,263.89,6.0,1. 호텔,가족형,1,서울
114.0,15.0,2.0,2.0,1,1.0,1.0,2.0,5.0,137.28,5.0,4. 게스트하우스/호스텔,혼자형,1,서울
116.0,6.0,1.0,3.0,1,3.0,2.0,1.0,6.0,120.12,8.0,1. 호텔,가족형,2,서울
117.0,6.0,2.0,2.0,1,2.0,5.0,2.0,6.0,130.9,17.0,1. 호텔,혼자형,2,서울
120.0,6.0,2.0,4.0,1,1.0,4.0,7.0,3.0,331.27,4.0,1. 호텔,친구형,1,서울
122.0,1.0,2.0,2.0,1,4.0,5.0,2.0,2.0,833.33,6.0,1. 호텔,혼자형,1,서울
126.0,2.0,2.0,3.0,1,4.0,5.0,1.0,4.0,111.29,7.0,1. 호텔,친구형,1,서울
128.0,6.0,2.0,3.0,1,1.0,8.0,7.0,4.0,250.47,6.0,1. 호텔,가족형,1,서울
133.0,6.0,2.0,6.0,1,4.0,2.0,1.0,4.0,150.57,5.0,1. 호텔,가족형,1,서울
135.0,4.0,1.0,6.0,1,1.0,8.0,12.0,4.0,273.0,5.0,1. 호텔,가족형,2,충북
144.0,8.0,2.0,3.0,1,1.0,1.0,3.0,10.0,135.97,5.0,4. 게스트하우스/호스텔,혼자형,2,서울
152.0,7.0,2.0,1.0,1,2.0,2.0,6.0,3.0,316.25,4.0,1. 호텔,복합형(가족+친구),1,서울
153.0,97.0,2.0,2.0,1,1.0,1.0,5.0,9.0,191.02,4.0,1. 호텔,혼자형,1,서울
154.0,15.0,2.0,2.0,1,1.0,7.0,4.0,11.0,348.11,9.0,1. 호텔,혼자형,1,서울
155.0,14.0,1.0,3.0,1,3.0,2.0,3.0,5.0,64.52,4.0,1. 호텔,가족형,1,서울
157.0,14.0,2.0,6.0,1,2.0,2.0,4.0,3.0,101.76,5.0,1. 호텔,친구형,1,서울
159.0,7.0,2.0,2.0,1,1.0,8.0,1.0,4.0,260.4,5.0,1. 호텔,친구형,2,서울
160.0,4.0,2.0,3.0,1,2.0,2.0,3.0,9.0,173.33,3.0,1. 호텔,가족형,1,서울
163.0,7.0,2.0,5.0,1,1.0,7.0,7.0,4.0,330.0,4.0,1. 호텔,가족형,1,서울
167.0,1.0,2.0,2.0,1,4.0,5.0,1.0,5.0,,5.0,1. 호텔,혼자형,1,서울
171.0,2.0,2.0,4.0,1,4.0,11.0,2.0,12.0,114.0,3.0,1. 호텔,친구형,1,서울
178.0,10.0,2.0,2.0,1,3.0,2.0,7.0,6.0,161.44,6.0,1. 호텔,가족형,1,서울
181.0,15.0,2.0,2.0,1,1.0,1.0,7.0,2.0,180.18,11.0,1. 호텔,가족형,2,서울
182.0,3.0,1.0,3.0,1,1.0,4.0,2.0,5.0,301.55,5.0,1. 호텔,가족형,2,서울
185.0,5.0,2.0,5.0,1,2.0,7.0,2.0,3.0,448.35,6.0,1. 호텔,가족형,2,강원
187.0,3.0,2.0,3.0,1,1.0,8.0,5.0,4.0,319.89,4.0,1. 호텔,친구형,1,서울
188.0,10.0,1.0,1.0,1,2.0,2.0,3.0,4.0,248.21,4.0,1. 호텔,가족형,1,서울
191.0,3.0,2.0,4.0,1,4.0,6.0,3.0,6.0,326.98,4.0,1. 호텔,친구형,1,서울
192.0,5.0,2.0,1.0,1,1.0,8.0,7.0,9.0,563.64,5.0,1. 호텔,가족형,2,서울
194.0,15.0,1.0,2.0,1,1.0,7.0,7.0,3.0,97.09,14.0,1. 호텔,가족형,2,서울
195.0,10.0,2.0,3.0,1,1.0,1.0,1.0,9.0,156.47,5.0,1. 호텔,가족형,1,서울
198.0,3.0,2.0,4.0,1,3.0,2.0,3.0,4.0,521.6,5.0,1. 호텔,친구형,1,서울
