아이디,국가별,성별,연령별,문1. 주요 방한 목적,한국 방문횟수(카테고리),문1-1. 한국여행 관심 계기_1순위,문3-1. 고려한 관광활동_1순위,문3-2. 고려한 관광인프라_1순위,"문10. 1인 1일 지출경비(영향치 결측, 61일 이상 결측, 국제교통비 제외)",문9-3. 총 체재기간_61일 이상 결측,숙박시설_그룹,여행동반자_그룹,방문 지역 수,주요 체재 지역,총 국내 지출경비,총 식비_비율,총 국내 교통비_비율,총 체험/활동비_비율,총 뷰티/의료비_비율,총 여행 서비스비_비율,숙박비_비율,쇼핑비_비율,기타 비용_비율
6.0,3.0,2.0,2.0,1,4.0,2.0,1.0,6.0,40.49,27.0,1. 호텔+7. 친척 또는 친구 집,혼자형,2,서울,1093.2,0.3248627881448957,0.12005122575923893,0.021185510428100986,0.04943285766556897,0.0,0.11299853640687889,0.3531101353823637,0.0183589462129528
12.0,5.0,2.0,4.0,1,1.0,8.0,5.0,5.0,228.02,5.0,1. 호텔,친구형,1,서울,1140.0900000000001,0.16853932584269662,0.03370786516853932,0.011235955056179775,0.0,0.0,0.33707865168539325,0.44943820224719094,0.0
14.0,8.0,2.0,3.0,1,1.0,4.0,12.0,1.0,204.3,7.0,1. 호텔,가족형,2,서울,1430.1,0.15873015873015875,0.08888888888888889,0.022222222222222223,0.0,0.0,0.6666666666666667,0.06349206349206349,0.0
19.0,8.0,1.0,5.0,1,1.0,1.0,5.0,4.0,219.91,8.0,1. 호텔,가족형,3,서울,1759.25,0.12903225806451613,0.41935483870967744,0.0,0.0,0.0,0.25806451612903225,0.1935483870967742,0.0
20.0,3.0,1.0,2.0,1,1.0,7.0,7.0,10.0,167.08,8.0,1. 호텔,친구형,2,서울,1336.6000000000001,0.2439024390243902,0.17073170731707316,0.0,0.0,0.14634146341463414,0.19512195121951217,0.2439024390243902,0.0
21.0,4.0,2.0,2.0,1,2.0,2.0,7.0,2.0,204.29,7.0,4. 게스트하우스/호스텔,혼자형,1,서울,1430.0,0.08391608391608392,0.03496503496503497,0.055944055944055944,0.0,0.0,0.38461538461538464,0.27972027972027974,0.16083916083916083
24.0,3.0,2.0,3.0,1,3.0,7.0,3.0,3.0,233.63,6.0,5. 민박/펜션,가족형,1,서울,1401.8,0.2558139534883721,0.04651162790697675,0.0,0.0,0.0,0.3488372093023256,0.3488372093023256,0.0
25.0,5.0,2.0,3.0,1,4.0,5.0,3.0,10.0,298.47,6.0,1. 호텔,친구형,2,서울,1790.84,0.1430613566817806,0.10944026267003196,0.05365080074155145,0.0,0.0,0.2503573741931161,0.42918407004534187,0.014306135668178063
26.0,3.0,1.0,2.0,1,1.0,1.0,1.0,3.0,134.2,6.0,1. 호텔,가족형,1,서울,805.22,0.32388663967611336,0.016194331983805665,0.08097165991902834,0.0,0.0,0.5668016194331983,0.0,0.01214574898785425
27.0,3.0,1.0,3.0,1,1.0,5.0,3.0,1.0,270.58,5.0,1. 호텔,친구형,1,서울,1352.9,0.12048192771084336,0.3614457831325301,0.0,0.0,0.5180722891566265,0.0,0.0,0.0
29.0,8.0,2.0,4.0,1,1.0,1.0,2.0,2.0,104.04,6.0,1. 호텔,가족형,2,서울,624.25,0.2727272727272727,0.09090909090909091,0.0,0.0,0.0,0.2727272727272727,0.36363636363636365,0.0
33.0,3.0,2.0,4.0,1,2.0,5.0,3.0,5.0,326.0,5.0,1. 호텔,가족형,2,서울,1630.0,0.08,0.0,0.0,0.0,0.76,0.0,0.16,0.0
37.0,9.0,2.0,2.0,1,1.0,8.0,4.0,2.0,157.38,7.0,1. 호텔,혼자형,3,서울,1101.6599999999999,0.5813953488372093,0.058139534883720936,0.0,0.0,0.0,0.23255813953488375,0.11627906976744187,0.011627906976744188
38.0,7.0,2.0,2.0,1,2.0,4.0,4.0,4.0,244.48,3.0,1. 호텔,혼자형,1,서울,733.44,0.2105284685863874,0.0,0.0,0.0,0.157899760034904,0.3157858856893543,0.2105284685863874,0.10525741710296684
40.0,2.0,1.0,2.0,1,2.0,5.0,11.0,12.0,79.8,4.0,1. 호텔,친구형,1,서울,319.2,0.35714285714285715,0.11904761904761905,0.2380952380952381,0.0,0.0,0.28571428571428575,0.0,0.0
55.0,10.0,1.0,3.0,1,3.0,2.0,4.0,6.0,19.98,4.0,1. 호텔,혼자형,2,서울,176.22,0.6780161162183634,0.08472364090341618,0.0,0.0,0.06781296107138804,0.08472364090341618,0.08472364090341618,0.0
60.0,6.0,2.0,4.0,1,2.0,9.0,4.0,5.0,1408.15,4.0,1. 호텔,직장형,1,서울,5632.58,0.0025654318269780455,0.06413579567445114,0.0,0.0,0.0,0.007696295480934137,0.9235554577120965,0.0020470193055402673
61.0,97.0,2.0,4.0,1,1.0,1.0,4.0,3.0,427.86,7.0,1. 호텔,가족형,1,서울,2995.0,0.2704507512520868,0.08347245409015025,0.0,0.0,0.0,0.2671118530884808,0.3672787979966611,0.011686143572621035
62.0,10.0,1.0,3.0,1,3.0,5.0,5.0,7.0,422.22,10.0,1. 호텔,가족형,1,서울,4222.24,0.17647030959869645,0.002941566561825003,0.0,0.5882351547993483,0.0,0.1176460835954375,0.11470688544469287,0.0
65.0,11.0,2.0,3.0,1,1.0,5.0,3.0,3.0,135.0,5.0,7. 친척 또는 친구 집,가족형,3,충북,675.0,0.2222222222222222,0.037037037037037035,0.0,0.0,0.0,0.0,0.7407407407407407,0.0
66.0,4.0,1.0,3.0,1,1.0,1.0,1.0,10.0,91.0,10.0,1. 호텔,가족형,1,서울,910.0,0.27472527472527475,0.10989010989010989,0.0,0.0,0.01098901098901099,0.32967032967032966,0.27472527472527475,0.0
69.0,2.0,1.0,5.0,1,4.0,4.0,1.0,7.0,159.6,4.0,1. 호텔,혼자형,1,서울,638.4,0.35714285714285715,0.047619047619047616,0.0,0.0,0.0,0.4166666666666667,0.17857142857142858,0.0
78.0,5.0,2.0,3.0,1,4.0,2.0,3.0,7.0,211.06,7.0,1. 호텔,가족형,1,서울,1477.42,0.08670520231213873,0.6213872832369942,0.0028901734104046237,0.0,0.0,0.0,0.2890173410404624,0.0
79.0,10.0,2.0,4.0,1,1.0,4.0,11.0,8.0,156.47,7.0,3. 콘도미니엄/리조트,단체형,3,서울,1095.3000000000002,0.37415320003651964,0.06802702455948141,0.13605404911896282,0.0,0.13605404911896282,0.13605404911896282,0.13605404911896282,0.013603578928147538
80.0,10.0,1.0,3.0,1,1.0,1.0,9.0,7.0,156.12,7.0,8. 기타,단체형,1,서울,1092.81,0.26515130718057117,0.07575882358323954,0.0,0.0,0.0,0.26515130718057117,0.3787849671946633,0.015153594860954786
81.0,10.0,2.0,3.0,1,3.0,2.0,2.0,10.0,677.69,7.0,1. 호텔,단체형,3,서울,4743.799999999999,0.09249546776845567,0.0,0.01745225346768414,0.0,0.0,0.01745225346768414,0.8726000252961761,0.0
95.0,5.0,2.0,3.0,1,4.0,2.0,7.0,6.0,32.45,15.0,7. 친척 또는 친구 집,혼자형,1,서울,486.78000000000003,0.2631578947368421,0.3157894736842105,0.0,0.0,0.0,0.0,0.39473684210526316,0.02631578947368421
100.0,13.0,2.0,3.0,1,4.0,9.0,11.0,3.0,356.8,4.0,1. 호텔,가족형,1,서울,1427.2,0.23766816143497757,0.06726457399103139,0.0,0.0,0.0,0.22421524663677128,0.44843049327354256,0.02242152466367713
105.0,8.0,2.0,3.0,1,4.0,2.0,6.0,6.0,80.96,12.0,1. 호텔,혼자형,1,서울,971.56,0.11682242990654207,0.07009345794392523,0.0,0.0,0.0,0.46261682242990654,0.3504672897196262,0.0
108.0,10.0,2.0,2.0,1,4.0,2.0,15.0,3.0,263.89,6.0,1. 호텔,가족형,1,서울,1583.3400000000001,0.23529374613159523,0.0,0.11765003094723811,0.0,0.0,0.17646873065797616,0.47058749226319047,0.0
114.0,15.0,2.0,2.0,1,1.0,1.0,2.0,5.0,137.28,5.0,4. 게스트하우스/호스텔,혼자형,1,서울,686.4,0.19801864801864802,0.04950466200466201,0.0,0.0,0.0,0.326733682983683,0.39603729603729604,0.029705710955710958
116.0,6.0,1.0,3.0,1,3.0,2.0,1.0,6.0,120.12,8.0,1. 호텔,가족형,2,서울,960.9300000000001,0.30075031479920494,0.07518757869980124,0.0,0.0,0.0,0.31578783053916515,0.30075031479920494,0.007523961162623708
117.0,6.0,2.0,2.0,1,2.0,5.0,2.0,6.0,130.9,17.0,1. 호텔,혼자형,2,서울,2225.3,0.2597402597402597,0.025974025974025972,0.0,0.0,0.0,0.3246753246753247,0.3896103896103896,0.0
120.0,6.0,2.0,4.0,1,1.0,4.0,7.0,3.0,331.27,4.0,1. 호텔,친구형,1,서울,1325.07,0.5452542129849745,0.010905084259699488,0.0,0.0,0.0,0.10905084259699488,0.32715252779098464,0.007637332367346631
122.0,1.0,2.0,2.0,1,4.0,5.0,2.0,2.0,833.33,6.0,1. 호텔,혼자형,1,서울,5000.0,0.2,0.2,0.0,0.0,0.0,0.1,0.5,0.0
126.0,2.0,2.0,3.0,1,4.0,5.0,1.0,4.0,111.29,7.0,1. 호텔,친구형,1,서울,779.0,0.14634146341463414,0.024390243902439025,0.0,0.0,0.0,0.34146341463414637,0.4878048780487805,0.0
128.0,6.0,2.0,3.0,1,1.0,8.0,7.0,4.0,250.47,6.0,1. 호텔,가족형,1,서울,1502.8000000000002,0.28846153846153844,0.057692307692307675,0.0,0.0,0.0,0.2692307692307692,0.3846153846153846,0.0
133.0,6.0,2.0,6.0,1,4.0,2.0,1.0,4.0,150.57,5.0,1. 호텔,가족형,1,서울,752.85,0.30709968785282593,0.06718469814704124,0.0,0.0,0.0,0.23032476588961945,0.3838746098160324,0.011516238294480972
135.0,4.0,1.0,6.0,1,1.0,8.0,12.0,4.0,273.0,5.0,1. 호텔,가족형,2,충북,1365.0,0.3663003663003663,0.14652014652014653,0.0,0.06593406593406594,0.15384615384615385,0.01098901098901099,0.2564102564102564,0.0
144.0,8.0,2.0,3.0,1,1.0,1.0,3.0,10.0,135.97,5.0,4. 게스트하우스/호스텔,혼자형,2,서울,679.87,0.23372115257328605,0.10016620824569403,0.0,0.0,0.12855398826246195,0.2671098886551841,0.2671098886551841,0.003338873608189801
152.0,7.0,2.0,1.0,1,2.0,2.0,6.0,3.0,316.25,4.0,1. 호텔,복합형(가족+친구),1,서울,1265.0,0.019762845849802372,0.0,0.0,0.0,0.7430830039525692,0.0,0.23715415019762845,0.0
153.0,97.0,2.0,2.0,1,1.0,1.0,5.0,9.0,191.02,4.0,1. 호텔,혼자형,1,서울,764.0999999999999,0.18138987043580684,0.1577280460672687,0.0,0.0,0.0,0.3154560921345374,0.3296558042141081,0.015770187148279022
154.0,15.0,2.0,2.0,1,1.0,7.0,4.0,11.0,348.11,9.0,1. 호텔,혼자형,1,서울,3132.9599999999996,0.21691946274449725,0.04338389254889945,0.04338389254889945,0.03904614166794342,0.0,0.21691946274449725,0.4338389254889945,0.006508222256268833
155.0,14.0,1.0,3.0,1,3.0,2.0,3.0,5.0,64.52,4.0,1. 호텔,가족형,1,서울,258.09,0.2857142857142857,0.0,0.0,0.0,0.0,0.2857142857142857,0.4285714285714286,0.0
157.0,14.0,2.0,6.0,1,2.0,2.0,4.0,3.0,101.76,5.0,1. 호텔,친구형,1,서울,508.81,0.3260942198463081,0.21738959533028043,0.0,0.0,0.0,0.28985279377370726,0.14492639688685363,0.021736994162850572
159.0,7.0,2.0,2.0,1,1.0,8.0,1.0,4.0,260.4,5.0,1. 호텔,친구형,2,서울,1302.0,0.0,0.0,0.0,0.0,0.8387096774193549,0.0,0.16129032258064516,0.0
160.0,4.0,2.0,3.0,1,2.0,2.0,3.0,9.0,173.33,3.0,1. 호텔,가족형,1,서울,520.0,0.3269230769230769,0.19230769230769232,0.09615384615384616,0.0,0.0,0.2403846153846154,0.14423076923076922,0.0
