아이디,국가별,성별,연령별,한국 방문횟수(카테고리),문1-1. 한국여행 관심 계기_1순위,문3-1. 고려한 관광활동_1순위,문3-2. 고려한 관광인프라_1순위,"문10. 1인 1일 지출경비(영향치 결측, 61일 이상 결측, 국제교통비 제외)",문9-3. 총 체재기간_61일 이상 결측,숙박시설_그룹,여행동반자_그룹,방문 지역 수,주요 체재 지역,총 국내 지출경비,총 식비_비율,총 국내 교통비_비율,총 체험/활동비_비율,총 뷰티/의료비_비율,총 여행 서비스비_비율,숙박비_비율,쇼핑비_비율,기타 비용_비율
6.0,3.0,2.0,2.0,4.0,2,1,6,1,6,1. 호텔+7. 친척 또는 친구 집,혼자형,2,서울,1093.2,0.3248627881448957,0.1200512257592389,0.0211855104281009,0.0494328576655689,0.0,0.1129985364068788,0.3531101353823637,0.0183589462129528
12.0,5.0,2.0,4.0,1.0,7,4,5,3,2,1. 호텔,친구형,1,서울,1140.09,0.1685393258426966,0.0337078651685393,0.0112359550561797,0.0,0.0,0.3370786516853932,0.4494382022471909,0.0
14.0,8.0,2.0,3.0,1.0,4,10,1,3,3,1. 호텔,가족형,2,서울,1430.1,0.1587301587301587,0.0888888888888888,0.0222222222222222,0.0,0.0,0.6666666666666667,0.0634920634920634,0.0
19.0,8.0,1.0,5.0,1.0,1,4,4,3,4,1. 호텔,가족형,3,서울,1759.25,0.1290322580645161,0.4193548387096774,0.0,0.0,0.0,0.2580645161290322,0.1935483870967742,0.0
20.0,3.0,1.0,2.0,1.0,6,6,6,2,4,1. 호텔,친구형,2,서울,1336.6,0.2439024390243902,0.1707317073170731,0.0,0.0,0.1463414634146341,0.1951219512195121,0.2439024390243902,0.0
21.0,4.0,2.0,2.0,2.0,2,6,2,3,3,4. 게스트하우스/호스텔,혼자형,1,서울,1430.0,0.0839160839160839,0.0349650349650349,0.0559440559440559,0.0,0.0,0.3846153846153846,0.2797202797202797,0.1608391608391608
24.0,3.0,2.0,3.0,3.0,6,3,3,3,3,5. 민박/펜션,가족형,1,서울,1401.8,0.2558139534883721,0.0465116279069767,0.0,0.0,0.0,0.3488372093023256,0.3488372093023256,0.0
25.0,5.0,2.0,3.0,4.0,5,3,6,4,3,1. 호텔,친구형,2,서울,1790.84,0.1430613566817806,0.1094402626700319,0.0536508007415514,0.0,0.0,0.2503573741931161,0.4291840700453418,0.014306135668178
26.0,3.0,1.0,2.0,1.0,1,1,3,2,3,1. 호텔,가족형,1,서울,805.22,0.3238866396761133,0.0161943319838056,0.0809716599190283,0.0,0.0,0.5668016194331983,0.0,0.0121457489878542
27.0,3.0,1.0,3.0,1.0,5,3,1,3,2,1. 호텔,친구형,1,서울,1352.9,0.1204819277108433,0.3614457831325301,0.0,0.0,0.5180722891566265,0.0,0.0,0.0
29.0,8.0,2.0,4.0,1.0,1,2,2,1,3,1. 호텔,가족형,2,서울,624.25,0.2727272727272727,0.0909090909090909,0.0,0.0,0.0,0.2727272727272727,0.3636363636363636,0.0
33.0,3.0,2.0,4.0,2.0,5,3,5,4,2,1. 호텔,가족형,2,서울,1630.0,0.08,0.0,0.0,0.0,0.76,0.0,0.16,0.0
37.0,9.0,2.0,2.0,1.0,7,4,2,2,3,1. 호텔,혼자형,3,서울,1101.66,0.5813953488372093,0.0581395348837209,0.0,0.0,0.0,0.2325581395348837,0.1162790697674418,0.0116279069767441
38.0,7.0,2.0,2.0,2.0,4,4,4,3,1,1. 호텔,혼자형,1,서울,733.44,0.2105284685863874,0.0,0.0,0.0,0.157899760034904,0.3157858856893543,0.2105284685863874,0.1052574171029668
40.0,2.0,1.0,2.0,2.0,5,9,8,1,2,1. 호텔,친구형,1,서울,319.2,0.3571428571428571,0.119047619047619,0.2380952380952381,0.0,0.0,0.2857142857142857,0.0,0.0
55.0,10.0,1.0,3.0,3.0,2,4,6,1,2,1. 호텔,혼자형,2,서울,176.22,0.6780161162183634,0.0847236409034161,0.0,0.0,0.067812961071388,0.0847236409034161,0.0847236409034161,0.0
60.0,6.0,2.0,4.0,2.0,7,4,5,6,2,1. 호텔,직장형,1,서울,5632.58,0.002565431826978,0.0641357956744511,0.0,0.0,0.0,0.0076962954809341,0.9235554577120964,0.0020470193055402
61.0,97.0,2.0,4.0,1.0,1,4,3,5,3,1. 호텔,가족형,1,서울,2995.0,0.2704507512520868,0.0834724540901502,0.0,0.0,0.0,0.2671118530884808,0.3672787979966611,0.011686143572621
62.0,10.0,1.0,3.0,3.0,5,4,7,5,4,1. 호텔,가족형,1,서울,4222.24,0.1764703095986964,0.002941566561825,0.0,0.5882351547993483,0.0,0.1176460835954375,0.1147068854446928,0.0
65.0,11.0,2.0,3.0,1.0,5,3,3,2,2,7. 친척 또는 친구 집,가족형,3,충북,675.0,0.2222222222222222,0.037037037037037,0.0,0.0,0.0,0.0,0.7407407407407407,0.0
66.0,4.0,1.0,3.0,1.0,1,1,6,1,4,1. 호텔,가족형,1,서울,910.0,0.2747252747252747,0.1098901098901098,0.0,0.0,0.0109890109890109,0.3296703296703296,0.2747252747252747,0.0
69.0,2.0,1.0,5.0,4.0,4,1,7,2,2,1. 호텔,혼자형,1,서울,638.4,0.3571428571428571,0.0476190476190476,0.0,0.0,0.0,0.4166666666666667,0.1785714285714285,0.0
78.0,5.0,2.0,3.0,4.0,2,3,7,3,3,1. 호텔,가족형,1,서울,1477.42,0.0867052023121387,0.6213872832369942,0.0028901734104046,0.0,0.0,0.0,0.2890173410404624,0.0
